1. ΕΣΟΔΑ,Column2,Column3,Ευρώ,1.304.827.000.000
,11,Φόροι,»,62.055.000.000
,12,Κοινωνικές εισφορές,»,60.000.000
,13,Μεταβιβάσεις,»,8.131.000.000
,14,Πωλήσεις αγαθών και υπηρεσιών,»,2.405.000.000
,15,Λοιπά τρέχοντα έσοδα,»,2.775.000.000
,31,Πάγια Περιουσιακά Στοιχεία,»,37.000.000
,43,Χρεωστικοί τίτλοι,»,11.000.000
,44,Δάνεια,»,20.000.000
,45,"Συμμετοχικοί τίτλοι και μερίδια επενδυτικών
κεφαλαίων",»,467.000.000
,52,Υποχρεώσεις από νόμισμα και καταθέσεις,»,66.000.000
,53,Χρεωστικοί τίτλοι (υποχρεώσεις),»,25.973.000.000
,54,Δάνεια,»,1.202.027.000.000
,57,Χρηματοοικονομικά παράγωγα,»,800.000.000
2. ΕΞΟΔΑ,,,»,1.307.907.506.000
,21,Παροχές σε εργαζομένους,»,14.889.199.000
,22,Κοινωνικές παροχές,»,425.136.000
,23,Μεταβιβάσεις,»,34.741.365.000
,24,Αγορές αγαθών και υπηρεσιών,»,2.039.542.000
,25,Επιδοτήσεις,»,80.630.000
,26,Τόκοι,»,7.701.101.000
,27,Λοιπές δαπάνες,»,101.553.000
,29,Πιστώσεις υπό κατανομή,»,17.283.053.000
,31,Πάγια περιουσιακά στοιχεία,»,2.609.600.000
,33,Τιμαλφή,»,85.000
,44,Δάνεια,»,3.741.000.000
,45,"Συμμετοχικοί τίτλοι και μερίδια επενδυτικών
κεφαλαίων",»,1.755.112.000
,53,Χρεωστικοί τίτλοι (υποχρεώσεις),»,19.375.000.000
,54,Δάνεια,»,1.203.165.130.000
,,3. ΑΠΟΤΕΛΕΣΜΑ ΚΡΑΤΙΚΟΥ ΠΡΟΫΠΟΛΟΓΙΣΜΟΥ (ΕΣΟΔΑ - ΕΞΟΔΑ),»,-3.080.506.000
